team,manager,captain,kit,shirt sponsor,sleeve sponsor
Arsenal,Mikel Arteta,Pierre-Emerick Aubameyang,Adidas,Emirates,Visit Rwanda
Aston Villa,Dean Smith,Jack Grealish,Kappa,Cazoo,LT
Brighton & Hove Albion,Graham Potter,Lewis Dunk,Nike,American Express,SnickersUK.com
Burnley,Sean Dyche,Ben Mee,Umbro,LoveBet,LoveBet
Chelsea,Thomas Tuchel,César Azpilicueta,Nike,Three,Hyundai
Crystal Palace,Roy Hodgson,Luka Milivojević,Puma,W88,Iqoniq
Everton,Carlo Ancelotti,Séamus Coleman,Hummel,Cazoo,None
Fulham,Scott Parker,Tom Cairney,Adidas,BetVictor,ClearScore
Leeds United,Marcelo Bielsa,Liam Cooper,Adidas,SBOTOP,JD Sports
Leicester City,Brendan Rodgers,Wes Morgan,Adidas,Two sponsors Tourism Authority of Thailand,Bia Saigon
Liverpool,Jürgen Klopp,Jordan Henderson,Nike,Standard Chartered,Expedia
Manchester City,Pep Guardiola,Fernandinho,Puma,Etihad Airways,Nexen Tire
Manchester United,Ole Gunnar Solskjær,Harry Maguire,Adidas,Chevrolet,Kohler
Newcastle United,Steve Bruce,Jamaal Lascelles,Puma,FUN88,ICM.com
Sheffield United,Paul Heckingbottom (caretaker),Billy Sharp,Adidas,Union Standard Group,Union Standard Group
Southampton,Ralph Hasenhüttl,James Ward-Prowse,Under Armour,Sportsbet.io,Virgin Media
Tottenham Hotspur,Ryan Mason (caretaker),Hugo Lloris,Nike,AIA,Cinch
West Bromwich Albion,Sam Allardyce,Jake Livermore,Puma,Ideal Boilers,12BET
West Ham United,David Moyes,Mark Noble,Umbro,Betway,Scope Markets
Wolverhampton Wanderers,Nuno Espírito Santo,Conor Coady,Adidas,ManBetX,Aeroset
